,subj_id,ses_id,structural,GNG1,GNG2,HARIRI,rest,SVC1,SVC2,note
165,9310,55269,ok,ok,ok,ok,ok,ok,ok,
166,9310,56860,ok,ok,ok,ok,ok,ok,ok,
167,9335,53057,ok,ok,ok,ok,ok,ok,ok,
168,9344,53035,ok,ok,ok,ok,ok,ok,ok,
169,9344,56234,ok,ok,ok,ok,ok,ok,ok,
170,9353,53047,ok,ok,ok,ok,ok,ok,ok,
171,9356,52941,ok,ok,ok,ok,ok,ok,ok,
172,9356,53242,NO_BIDS,NO_BIDS,NO_BIDS,NO_BIDS,NO_BIDS,NO_HCP,NO_HCP,SPLIT SESSION: Merged with 52941 (processed)
173,9368,52968,ok,ok,ok,ok,ok,ok,ok,
174,9383,53004,ok,ok,ok,ok,ok,ok,ok,
175,9383,56292,ok,ok,ok,ok,ok,ok,ok,
176,9409,53888,ok,ok,ok,ok,ok,ok,ok,
177,9424,54158,ok,ok,ok,ok,ok,ok,ok,
178,9428,53291,ok,ok,ok,ok,ok,ok,ok,
179,9428,56331,ok,ok,ok,ok,ok,ok,ok,
180,9442,54118,ok,ok,ok,ok,ok,ok,ok,
181,9442,56675,ok,ok,ok,ok,ok,ok,ok,
182,9448,53570,ok,ok,ok,ok,ok,ok,ok,
183,9448,56322,ok,ok,ok,ok,ok,ok,ok,
184,9477,53549,ok,ok,ok,ok,ok,ok,ok,
185,9477,56341,ok,ok,ok,ok,ok,ok,ok,
186,9486,53346,ok,NO_BIDS,ok,ok,ok,ok,ok,
187,9486,53467,NO_BIDS,NO_BIDS,NO_BIDS,NO_BIDS,NO_BIDS,NO_HCP,NO_HCP,"SPLIT SESSION: Merged with 53346 (processed, lacks GNG1)"
188,9486,56286,ok,ok,ok,ok,ok,ok,ok,
189,9496,53455,ok,ok,ok,ok,ok,ok,ok,
190,9580,53901,ok,ok,ok,ok,ok,ok,ok,
191,9600,53849,ok,ok,ok,ok,ok,ok,ok,
192,9600,56650,ok,ok,ok,ok,ok,ok,ok,
193,9602,54001,ok,ok,ok,ok,ok,ok,ok,
194,9603,53886,ok,ok,ok,ok,ok,ok,ok,
195,9603,53990,NO_BIDS,NO_HCP,NO_HCP,NO_BIDS,NO_BIDS,NO_HCP,NO_HCP,SPLIT SESSION: Merged with 53886 (processed)
196,9603,56284,ok,ok,ok,ok,ok,ok,ok,
197,9611,53882,ok,ok,ok,ok,ok,ok,ok,
198,9611,56514,ok,ok,ok,ok,ok,ok,ok,
199,9648,53983,ok,ok,ok,ok,ok,ok,ok,
200,9648,56307,ok,ok,ok,ok,ok,ok,ok,
201,9667,53999,ok,ok,ok,ok,ok,ok,ok,
202,9707,54053,ok,ok,ok,ok,ok,ok,ok,
203,9710,54021,ok,ok,ok,ok,ok,ok,ok,
204,9710,56638,ok,ok,ok,ok,ok,ok,ok,
205,9722,54688,ok,ok,ok,ok,ok,ok,ok,
206,9725,56669,ok,ok,ok,ok,ok,ok,ok,
207,9758,54397,ok,ok,ok,ok,ok,ok,ok,
208,9823,54401,ok,ok,ok,ok,ok,ok,ok,
209,9823,56608,ok,ok,ok,ok,ok,ok,ok,
210,9839,54847,ok,ok,ok,ok,ok,ok,ok,
211,9845,54599,ok,ok,ok,ok,ok,ok,ok,
212,9858,54205,ok,ok,ok,ok,ok,ok,ok,
213,9858,54336,NO_BIDS,NO_BIDS,NO_BIDS,NO_BIDS,NO_BIDS,NO_HCP,NO_HCP,SPLIT SESSION: Merged with 54205 (processed)
214,9858,56700,ok,ok,ok,ok,ok,ok,ok,
